,Order,MSE
0,"(2, 0, 8)",1998119881.8732934
0,"(0, 2, 4, 10)",1998205639.5719423
0,"(2, 1, 11, 5)",2005615911.2589412
0,"(2, 0, 2)",2008537295.4074285
0,"(1, 2, 7, 9)",2009376588.79267
0,"(1, 1, 4, 8)",2012752424.071987
0,"(2, 1, 5, 8)",2014206062.2204976
0,"(2, 0, 9)",2016375098.2101998
0,"(2, 1, 3, 9)",2017677197.4404867
0,"(0, 2, 5, 10)",2019358723.8615248
0,"(2, 0, 1)",2022695738.8335388
0,"(2, 1, 10, 5)",2025230102.8564026
0,"(3, 0, 4)",2026223660.7627587
0,"(2, 1, 10, 6)",2029345428.3759725
0,"(2, 0, 7)",2031485889.7286117
0,"(3, 0, 6)",2031895027.1405094
0,"(2, 1, 3, 8)",2034529982.4711463
0,"(2, 1, 5, 9)",2039127962.95983
0,"(2, 1, 4, 9)",2046270654.429104
0,"(2, 2, 4, 9)",2046881684.8019886
0,"(2, 1, 6, 8)",2047570144.2819743
0,"(1, 0, 2)",2048303770.5420537
0,"(2, 0, 5)",2048952923.3692138
0,"(3, 0, 5)",2052972508.9341478
0,"(1, 1, 10, 6)",2054914787.2624965
0,"(2, 1, 1, 10)",2063840026.2518692
0,"(0, 1, 11, 6)",2071909483.4251626
0,"(3, 0, 3)",2072032944.7604592
0,"(0, 2, 0)",2075638499.734683
0,"(3, 1, 10, 6)",2079097710.1778483
0,"(1, 0, 10)",2079387378.291644
0,"(2, 2, 1, 10)",2089138867.5260885
0,"(1, 0, 7)",2091960198.9410665
0,"(2, 1, 4, 8)",2110340009.1052523
0,"(2, 2, 5, 9)",2116644926.3366435
0,"(0, 2, 3, 10)",2117948963.4151676
0,"(1, 2, 8, 8)",2120222772.220074
0,"(1, 2, 1, 10)",2129511945.7395954
0,"(1, 2, 2, 10)",2132775047.9828615
0,"(3, 1, 3, 6)",2140552374.023681
0,"(2, 2, 4, 8)",2140970225.9895442
0,"(3, 1, 2, 8)",2141640388.486539
0,"(1, 1, 4, 10)",2148771760.3497524
0,"(1, 0, 9)",2155917507.0872025
0,"(1, 2, 3, 10)",2171243176.1585274
0,"(3, 1, 7, 8)",2171660034.3972397
0,"(2, 2, 5, 12)",2173549814.676047
0,"(1, 0, 8)",2179348096.6514635
0,"(3, 1, 6, 10)",2183057309.232788
0,"(0, 1, 5, 6)",2218712135.6602097
0,"(3, 1, 2, 9)",2218946160.7111874
0,"(1, 2, 6, 8)",2223937622.007964
0,"(2, 0, 0)",2225839812.996858
0,"(2, 2, 2, 10)",2233152152.7491117
0,"(0, 1, 6, 6)",2233654743.6690965
